size,dataset_id,method,makespan,sum_completion_times,avg_completion_time,n_orders
large,18,baseline,,372.0,74.4,273
large,19,greedy,,1074.0,134.25,252
large,19,baseline,,400.5,80.1,252
large,20,greedy,,1462.5,121.875,278
large,20,baseline,,382.5,76.5,278
large,21,greedy,,1068.0,97.0909090909091,298
large,21,baseline,,294.0,58.8,298
large,22,greedy,,1497.0,124.75,271
large,22,baseline,,321.0,64.2,271
large,23,greedy,,876.0,87.6,280
large,23,baseline,,339.0,67.8,280
large,24,greedy,,1309.5,119.04545454545455,254
large,24,baseline,,240.0,60.0,254
large,25,greedy,,1606.5,114.75,250
large,25,baseline,,201.0,50.25,250
large,26,greedy,,732.0,104.57142857142857,282
large,26,baseline,,363.0,72.6,282
large,27,greedy,,1477.5,134.3181818181818,265
large,27,baseline,,336.0,67.2,265
large,28,greedy,,1089.0,99.0,294
large,28,baseline,,390.0,65.0,294
large,29,greedy,,652.5,93.21428571428571,268
large,29,baseline,,460.5,76.75,268
large,30,greedy,,1507.5,125.625,290
large,30,baseline,,411.0,82.2,290
