size,dataset_id,method,makespan,sum_completion_times,avg_completion_time,n_orders
large,26,SPT,292,1154,288.5,282
large,26,LPT,289,1154,288.5,282
large,27,SPT,274,1079,269.75,265
large,27,LPT,270,1079,269.75,265
large,28,SPT,286,1126,281.5,294
large,28,LPT,282,1126,281.5,294
large,29,SPT,285,1118,279.5,268
large,29,LPT,280,1118,279.5,268
large,30,SPT,300,1187,296.75,290
large,30,LPT,297,1187,296.75,290
