size,dataset_id,sh_makespan,sh_sum_ct,sh_avg_ct,n_orders_x,greedy_makespan,greedy_sum_ct,greedy_avg_ct,ls_makespan,ls_sum_ct,ls_avg_ct,n_orders_y,best_sum_ct,winner_sum_ct,best_makespan,winner_makespan
medium,26,36,141,35.25,34,,660.0,110.0,,613.5,102.25,34,141.0,scheduling_heuristic,,
medium,27,34,135,33.75,31,,534.0,89.0,,877.5,109.6875,31,135.0,scheduling_heuristic,,
medium,28,32,125,31.25,35,,1039.5,86.625,,955.5,95.55,35,125.0,scheduling_heuristic,,
medium,29,35,139,34.75,32,,888.0,98.66666666666669,,751.5,107.35714285714286,32,139.0,scheduling_heuristic,,
medium,30,36,143,35.75,35,,550.5,91.75,,900.0,100.0,35,143.0,scheduling_heuristic,,
small,1,5,17,4.25,6,,165.0,41.25,,198.0,49.5,6,17.0,scheduling_heuristic,,
small,2,8,28,7.0,6,,190.5,47.625,103.5,439.5,73.25,6,28.0,scheduling_heuristic,,
small,3,8,28,7.0,8,,253.5,50.7,,394.5,65.75,8,28.0,scheduling_heuristic,,
small,4,7,25,6.25,7,,385.5,64.25,,298.5,59.7,7,25.0,scheduling_heuristic,,
small,5,6,20,5.0,7,,166.5,33.3,,280.5,56.1,7,20.0,scheduling_heuristic,,
small,6,6,19,4.75,7,,82.5,27.5,87.0,460.5,65.78571428571429,7,19.0,scheduling_heuristic,,
small,7,7,24,6.0,6,,118.5,39.5,91.5,408.0,68.0,6,24.0,scheduling_heuristic,,
small,8,8,29,7.25,8,,457.5,65.35714285714286,,406.5,67.75,8,29.0,scheduling_heuristic,,
small,9,10,34,8.5,8,,151.5,50.5,123.0,684.0,85.5,8,34.0,scheduling_heuristic,,
small,10,10,35,8.75,7,,265.5,53.1,132.0,676.5,96.64285714285714,7,35.0,scheduling_heuristic,,
small,11,6,17,4.25,6,,88.5,29.5,70.5,265.5,44.25,6,17.0,scheduling_heuristic,,
small,12,9,32,8.0,7,,235.5,58.875,,315.0,78.75,7,32.0,scheduling_heuristic,,
small,13,7,28,7.0,7,,189.0,47.25,100.5,526.5,75.21428571428571,7,28.0,scheduling_heuristic,,
small,14,7,21,5.25,6,66.0,307.5,51.25,85.5,375.0,62.5,6,21.0,scheduling_heuristic,7.0,scheduling_heuristic
small,15,8,28,7.0,7,87.0,376.5,53.785714285714285,,357.0,71.4,7,28.0,scheduling_heuristic,,
small,16,5,17,4.25,6,,231.0,46.2,78.0,358.5,59.75,6,17.0,scheduling_heuristic,,
